game_name,team_one,team_two,winner
play_in_Z,Colorado,Boise St,Colorado
play_in_Y,Virginia,Colorado St,Colorado St
play_in_X,Wagner,Howard,Howard
1-0,Connecticut,Stetson,Connecticut
1-1,FL Atlantic,Northwestern,FL Atlantic
1-2,San Diego St,UAB,San Diego St
1-3,Auburn,Yale,Auburn
1-4,BYU,Duquesne,BYU
1-5,Illinois,Morehead St,Illinois
1-6,Washington St,Drake,Washington St
1-7,Iowa St,S Dakota St,Iowa St
1-8,North Carolina,Howard,North Carolina
1-9,Mississippi St,Michigan St,Michigan St
1-10,St Mary's CA,Grand Canyon,St Mary's CA
1-11,Alabama,Col Charleston,Col Charleston
1-12,Clemson,New Mexico,New Mexico
1-13,Baylor,Colgate,Baylor
1-14,Dayton,Nevada,Dayton
1-15,Arizona,Long Beach St,Arizona
1-16,Purdue,Montana St,Purdue
1-17,Utah St,TCU,TCU
1-18,Gonzaga,McNeese St,Gonzaga
1-19,Kansas,Samford,Samford
1-20,South Carolina,Oregon,Oregon
1-21,Creighton,Akron,Creighton
1-22,Texas,Colorado St,Texas
1-23,Tennessee,St Peter's,Tennessee
1-24,Houston,Longwood,Houston
1-25,Nebraska,Texas A&M,Texas A&M
1-26,Wisconsin,James Madison,James Madison
1-27,Duke,Vermont,Duke
1-28,Texas Tech,NC State,NC State
1-29,Kentucky,Oakland,Kentucky
1-30,Florida,Colorado,Florida
1-31,Marquette,WKU,Marquette
2-0,Connecticut,FL Atlantic,Connecticut
2-1,San Diego St,Auburn,Auburn
2-2,BYU,Illinois,Illinois
2-3,Washington St,Iowa St,Iowa St
2-4,North Carolina,Michigan St,North Carolina
2-5,St Mary's CA,Col Charleston,St Mary's CA
2-6,New Mexico,Baylor,New Mexico
2-7,Dayton,Arizona,Arizona
2-8,Purdue,TCU,Purdue
2-9,Gonzaga,Samford,Gonzaga
2-10,Oregon,Creighton,Creighton
2-11,Texas,Tennessee,Tennessee
2-12,Houston,Texas A&M,Houston
2-13,James Madison,Duke,Duke
2-14,NC State,Kentucky,Kentucky
2-15,Florida,Marquette,Florida
3-0,Connecticut,Auburn,Connecticut
3-1,Illinois,Iowa St,Illinois
3-2,North Carolina,St Mary's CA,North Carolina
3-3,New Mexico,Arizona,Arizona
3-4,Purdue,Gonzaga,Gonzaga
3-5,Creighton,Tennessee,Creighton
3-6,Houston,Duke,Houston
3-7,Kentucky,Florida,Florida
4-0,Connecticut,Illinois,Connecticut
4-1,North Carolina,Arizona,Arizona
4-2,Gonzaga,Creighton,Gonzaga
4-3,Houston,Florida,Houston
5-0,Connecticut,Arizona,Connecticut
5-1,Gonzaga,Houston,Houston
6-0,Connecticut,Houston,Connecticut
