game_name,team_one,team_two,winner
play_in_Z,Colorado,Boise St,Colorado
play_in_Y,Virginia,Colorado St,Virginia
play_in_X,Wagner,Howard,Wagner
1-0,Connecticut,Stetson,Connecticut
1-1,FL Atlantic,Northwestern,FL Atlantic
1-2,San Diego St,UAB,San Diego St
1-3,Auburn,Yale,Auburn
1-4,BYU,Duquesne,BYU
1-5,Illinois,Morehead St,Illinois
1-6,Washington St,Drake,Washington St
1-7,Iowa St,S Dakota St,Iowa St
1-8,North Carolina,Wagner,North Carolina
1-9,Mississippi St,Michigan St,Mississippi St
1-10,St Mary's CA,Grand Canyon,St Mary's CA
1-11,Alabama,Col Charleston,Alabama
1-12,Clemson,New Mexico,Clemson
1-13,Baylor,Colgate,Baylor
1-14,Dayton,Nevada,Dayton
1-15,Arizona,Long Beach St,Arizona
1-16,Purdue,Montana St,Purdue
1-17,Utah St,TCU,Utah St
1-18,Gonzaga,McNeese St,Gonzaga
1-19,Kansas,Samford,Kansas
1-20,South Carolina,Oregon,South Carolina
1-21,Creighton,Akron,Creighton
1-22,Texas,Virginia,Texas
1-23,Tennessee,St Peter's,Tennessee
1-24,Houston,Longwood,Houston
1-25,Nebraska,Texas A&M,Nebraska
1-26,Wisconsin,James Madison,Wisconsin
1-27,Duke,Vermont,Duke
1-28,Texas Tech,NC State,Texas Tech
1-29,Kentucky,Oakland,Kentucky
1-30,Florida,Colorado,Florida
1-31,Marquette,WKU,Marquette
2-0,Connecticut,FL Atlantic,Connecticut
2-1,San Diego St,Auburn,Auburn
2-2,BYU,Illinois,Illinois
2-3,Washington St,Iowa St,Iowa St
2-4,North Carolina,Mississippi St,North Carolina
2-5,St Mary's CA,Alabama,St Mary's CA
2-6,Clemson,Baylor,Baylor
2-7,Dayton,Arizona,Arizona
2-8,Purdue,Utah St,Purdue
2-9,Gonzaga,Kansas,Gonzaga
2-10,South Carolina,Creighton,Creighton
2-11,Texas,Tennessee,Tennessee
2-12,Houston,Nebraska,Houston
2-13,Wisconsin,Duke,Duke
2-14,Texas Tech,Kentucky,Kentucky
2-15,Florida,Marquette,Marquette
3-0,Connecticut,Auburn,Connecticut
3-1,Illinois,Iowa St,Iowa St
3-2,North Carolina,St Mary's CA,North Carolina
3-3,Baylor,Arizona,Arizona
3-4,Purdue,Gonzaga,Purdue
3-5,Creighton,Tennessee,Tennessee
3-6,Houston,Duke,Houston
3-7,Kentucky,Marquette,Kentucky
4-0,Connecticut,Iowa St,Connecticut
4-1,North Carolina,Arizona,Arizona
4-2,Purdue,Tennessee,Purdue
4-3,Houston,Kentucky,Houston
5-0,Connecticut,Arizona,Connecticut
5-1,Purdue,Houston,Houston
6-0,Connecticut,Houston,Connecticut
