Villanova,87.1
Oklahoma,85.2
Savannah St,84.7
Duke,84.7
Buffalo,84.7
Gonzaga,84.5
Xavier,84.3
Creighton,84
Niagara,83.8
Marshall,83.6
Arizona St,83.5
UNLV,83.4
Auburn,83.4
S Dakota St,83.4
Nevada,83.1
Wm & Mary,83
Wichita St,83
TX Christian,83
Portland St,82.7
LA Lafayette,82
N Carolina,82
UCLA,81.9
Florida St,81.8
Rider,81.7
Kansas,81.5
Fla Gulf Cst,81.5
NC State,81.2
Marquette,81.2
Purdue,81.1
Bucknell,81.1
Arkansas,81.1
Michigan St,81
Arizona,80.9
Lipscomb,80.9
Beth-Cook,80.6
Central Ark,80.3
New Mexico,80.2
Iona,79.8
VA Tech,79.7
Iowa,79.7
Wyoming,79.7
South Dakota,79.6
W Virginia,79.6
Citadel,79.4
IPFW,79.4
Nicholls St,79.4
N Florida,79.3
Toledo,79.2
Butler,79.1
N Colorado,79
Seton Hall,79
Hofstra,78.6
Georgetown,78.3
TX-Arlington,78.3
W Kentucky,78.2
Oakland,78.2
Ste F Austin,78.2
Hampton,78.2
Houston,78.1
Montana,78.1
St Bonavent,77.9
Furman,77.9
NC-Wilmgton,77.9
St Fran (PA),77.9
TX Southern,77.6
Belmont,77.6
LSU,77.5
Boise State,77.5
Murray St,77.4
Lehigh,77.3
Oregon,77.2
San Diego St,77.1
USC,77.1
Davidson,77
St Marys,77
Rhode Island,76.8
Boston Col,76.8
Kentucky,76.7
LIU-Brooklyn,76.7
Winthrop,76.7
N Kentucky,76.7
Oklahoma St,76.4
UAB,76.3
Canisius,76.3
Louisville,76.2
Utah Val St,76.2
Samford,76.2
Weber State,76.1
TX-San Ant,76.1
Florida,76.1
Detroit,76
VCU,76
U Penn,76
Columbia,76
Fairfield,75.9
Brown,75.9
Stanford,75.9
Mississippi,75.8
Ohio State,75.8
Fresno St,75.7
Central Mich,75.7
Ohio,75.6
N Mex State,75.6
Towson,75.6
SE Missouri,75.6
North Dakota,75.5
Monmouth,75.4
Mass Lowell,75.3
Texas Tech,75.2
UCSB,75.2
Cornell,75.2
Col Charlestn,75.2
Illinois,75.2
Minnesota,75.2
Ball State,75.1
Cincinnati,75
Texas A&M,75
Neb Omaha,75
SC Upstate,74.9
S Utah,74.8
Notre Dame,74.8
IL-Chicago,74.8
Northeastrn,74.7
Penn State,74.6
Lg Beach St,74.6
Baylor,74.5
TX-Pan Am,74.5
Georgia St,74.4
Idaho,74.3
E Tenn St,74.3
E Washingtn,74.3
Washington,74.3
Tennessee,74.3
Montana St,74.2
Houston Bap,74.2
Prairie View,74.2
WI-Grn Bay,74.2
Miami (FL),74.2
Bowling Grn,74.1
St Josephs,74.1
BYU,74
Howard,73.9
App State,73.9
Middle Tenn,73.9
Mercer,73.9
Troy,73.8
GA Southern,73.8
Vermont,73.7
Army,73.7
Drexel,73.7
Providence,73.7
W Michigan,73.7
Michigan,73.6
Wagner,73.6
NC A&T,73.5
Yale,73.5
Utah,73.5
Missouri,73.5
Tulsa,73.5
Campbell,73.4
Old Dominion,73.3
Albany,73.3
Wake Forest,73.3
Clemson,73.3
Lamar,73.2
NC-Asheville,73.2
Wash State,73.2
Grd Canyon,73.2
Tulane,73.2
St Johns,73.2
Stetson,73.1
Oregon St,73.1
Idaho State,73.1
Miss State,73.1
Seattle,73
Maryland,73
James Mad,72.9
La Salle,72.9
Iowa State,72.8
Youngs St,72.8
Nebraska,72.7
Wofford,72.7
F Dickinson,72.7
Drake,72.7
Arkansas St,72.7
CS Fullerton,72.7
NJIT,72.6
LA Tech,72.6
Utah State,72.5
Kent State,72.5
Maryland BC,72.5
McNeese St,72.4
Duquesne,72.4
Dayton,72.4
Vanderbilt,72.4
Kansas St,72.4
Alabama,72.4
N Dakota St,72.2
Marist,72.2
Indiana St,72.2
Elon,72.2
Princeton,72.1
NC-Grnsboro,72.1
Colorado,72.1
S Car State,72.1
U Mass,71.9
DePaul,71.9
Indiana,71.9
Morgan St,71.9
Geo Mason,71.8
Colorado St,71.8
UC Davis,71.8
Richmond,71.8
Austin Peay,71.7
Texas,71.7
Colgate,71.7
Mt St Marys,71.7
Loyola-Chi,71.7
Kennesaw St,71.7
Quinnipiac,71.6
Grambling St,71.5
N Illinois,71.5
TN Tech,71.4
Norfolk St,71.3
Wright State,71.3
St Fran (NY),71.3
Loyola Mymt,71.3
Akron,71.3
Denver,71.2
