Virginia,0.679
Villanova,0.667
Xavier,0.652
Kansas,0.648
N Carolina,0.644
Duke,0.64
Cincinnati,0.637
Tennessee,0.632
Purdue,0.628
Clemson,0.622
Michigan,0.621
Arizona,0.619
Auburn,0.619
Michigan St,0.619
Rhode Island,0.619
Wichita St,0.619
Kentucky,0.617
Houston,0.616
Nevada,0.616
Ohio State,0.607
Gonzaga,0.605
Loyola-Chi,0.602
Texas Tech,0.601
Buffalo,0.6
St Bonavent,0.6
TX Christian,0.6
W Virginia,0.598
Miami (FL),0.597
Arkansas,0.596
Texas A&M,0.596
Providence,0.592
Seton Hall,0.592
Middle Tenn,0.59
USC,0.59
S Dakota St,0.585
N Mex State,0.584
UCLA,0.583
Alabama,0.582
Louisville,0.581
St Marys,0.581
W Kentucky,0.581
Butler,0.58
Creighton,0.578
Missouri,0.578
Syracuse,0.578
Florida,0.577
Murray St,0.575
Kansas St,0.574
Temple,0.574
Boise State,0.573
Oklahoma,0.573
Texas,0.571
Col Charlestn,0.57
Davidson,0.57
Florida St,0.57
Nebraska,0.57
Northeastrn,0.57
Marquette,0.569
San Diego St,0.568
LA Lafayette,0.567
Utah,0.567
VA Tech,0.567
Vermont,0.567
NC State,0.565
NC-Grnsboro,0.565
Arizona St,0.564
Baylor,0.563
BYU,0.563
Notre Dame,0.562
Oregon,0.561
Miss State,0.56
Rider,0.56
Washington,0.56
Maryland,0.559
Toledo,0.558
Bucknell,0.557
Georgia,0.557
Montana,0.557
Old Dominion,0.557
Penn State,0.557
Belmont,0.556
Colorado,0.555
Central FL,0.554
Utah Val St,0.554
Illinois St,0.553
Marshall,0.552
Oklahoma St,0.552
S Carolina,0.552
Stanford,0.551
Tulsa,0.55
South Dakota,0.548
St Johns,0.548
E Tenn St,0.547
LSU,0.547
Wm & Mary,0.547
Boston Col,0.545
Furman,0.543
Wright State,0.541
S Illinois,0.54
Wyoming,0.54
Fresno St,0.539
Lipscomb,0.539
UC Davis,0.539
Ste F Austin,0.536
Bradley,0.534
TX-Arlington,0.534
Iona,0.533
Memphis,0.533
Wagner,0.531
Maryland BC,0.53
N Colorado,0.53
S Methodist,0.53
Wisconsin,0.53
E Michigan,0.529
N Kentucky,0.529
New Mexico,0.528
UC Irvine,0.528
Harvard,0.526
U Penn,0.526
Connecticut,0.525
E Washingtn,0.525
Hofstra,0.525
Canisius,0.524
Indiana,0.524
NC-Asheville,0.524
Ball State,0.523
CS Fullerton,0.522
UCSB,0.522
Wofford,0.522
Georgia St,0.521
Radford,0.521
Vanderbilt,0.521
Idaho,0.52
Oregon St,0.519
VCU,0.519
Missouri St,0.518
UNLV,0.518
N Iowa,0.517
San Fransco,0.516
Mississippi,0.515
Nicholls St,0.515
Albany,0.514
GA Southern,0.514
Iowa State,0.514
San Diego,0.513
St Josephs,0.513
Dayton,0.511
Utah State,0.511
Jksnville St,0.51
Saint Louis,0.509
Kent State,0.508
SE Louisiana,0.508
UAB,0.508
Evansville,0.507
Grd Canyon,0.507
Towson,0.507
Iowa,0.506
Niagara,0.506
TN Tech,0.505
Wake Forest,0.505
GA Tech,0.504
Miami (OH),0.504
Seattle,0.504
Weber State,0.504
Austin Peay,0.503
Winthrop,0.503
Drake,0.502
Georgetown,0.502
Minnesota,0.502
Northwestern,0.502
Portland St,0.502
Fla Gulf Cst,0.501
Central Mich,0.5
Mercer,0.5
Tulane,0.499
W Michigan,0.499
Illinois,0.497
Richmond,0.497
Fairfield,0.496
St Fran (PA),0.496
Valparaiso,0.496
Wash State,0.496
Oakland,0.494
Indiana St,0.493
DePaul,0.492
TX-San Ant,0.492
Colgate,0.491
Pacific,0.491
TN State,0.491
Yale,0.491
LA Tech,0.49
Lg Beach St,0.49
Rob Morris,0.489
Bowling Grn,0.487
Savannah St,0.486
Troy,0.486
Hartford,0.485
Navy,0.485
Geo Mason,0.484
Geo Wshgtn,0.484
La Salle,0.484
Monmouth,0.484
Rutgers,0.483
Elon,0.481
Ohio,0.481
Sam Hous St,0.48
Liberty,0.479
S Mississippi,0.479
Stony Brook,0.479
IPFW,0.478
N Dakota St,0.478
Boston U,0.477
Hawaii,0.475
Lehigh,0.474
N Florida,0.474
California,0.473
CS Bakersfld,0.472
LA Monroe,0.472
Pittsburgh,0.472
W Carolina,0.472
North Dakota,0.471
Central Ark,0.469
TX Southern,0.469
Akron,0.468
Denver,0.468
Manhattan,0.468
Princeton,0.468
Mt St Marys,0.467
TX-Pan Am,0.467
Lamar,0.466
WI-Milwkee,0.466
LIU-Brooklyn,0.465
Delaware,0.464
Colorado St,0.463
North Texas,0.463
Hampton,0.462
IL-Chicago,0.462
NC A&T,0.461
New Orleans,0.461
U Mass,0.461
N Illinois,0.46
Drexel,0.459
Gard-Webb,0.459
Texas State,0.459
NC-Wilmgton,0.458
Coastal Car,0.457
Cornell,0.457
App State,0.456
Grambling St,0.456
Prairie View,0.455
S Utah,0.455
Oral Roberts,0.454
Air Force,0.453
F Dickinson,0.453
St Peters,0.453
Loyola Mymt,0.452
SE Missouri,0.452
UMKC,0.452
Duquesne,0.451
Abl Christian,0.449
Charl South,0.448
E Illinois,0.448
Central Conn,0.446
Holy Cross,0.446
Norfolk St,0.444
S Alabama,0.444
Santa Clara,0.444
Campbell,0.443
E Kentucky,0.442
Idaho State,0.442
NJIT,0.442
E Carolina,0.439
High Point,0.439
James Mad,0.439
