Team One,Team Two,Winner,Team One PPG,Team One OE,Team One DE,Team One FGE,Team One OR,Team One RPI,Team Two PPG,Team Two OE,Team Two DE,Team Two FGE,Team Two OR,Team Two RPI
Villanova,Mt St. Mary's,1,77.2,1.153,0.936,0.575,0.295,0.655,67.9,0.97,0.981,0.51,0.209,0.515
Wisconsin,Va Tech,1,72.4,1.081,0.932,0.521,0.339,0.599,79.1,1.106,1.045,0.569,0.211,0.576
Florida,ETSU,1,77.9,1.074,0.917,0.516,0.301,0.642,79.2,1.072,0.944,0.558,0.28,0.566
SMU,USC,2,74.3,1.142,0.923,0.547,0.366,0.624,78.2,1.09,1.019,0.522,0.296,0.594
Baylor,New Mex St.,1,71.9,1.076,0.958,0.525,0.382,0.641,73.6,1.022,1.009,0.502,0.252,0.54
S. Carolina,Marquette,1,68.4,1.003,0.901,0.473,0.321,0.606,82.2,1.134,1.042,0.576,0.247,0.558
Duke,Troy,1,80.8,1.136,0.986,0.548,0.303,0.64,75.4,1.063,1.023,0.516,0.286,0.511
Gonzaga,S. Dakota St,1,82.6,1.141,0.849,0.567,0.28,0.649,76.2,1.066,1.089,0.532,0.253,0.506
Northwestern,Vanderbilt,1,71.1,1.036,0.955,0.497,0.275,0.578,71.1,1.036,0.993,0.521,0.229,0.584
Notre Dame,Princeton,1,77.3,1.113,0.997,0.536,0.244,0.608,70.4,1.066,0.938,0.532,0.225,0.577
W. Virginia,Bucknell,1,81.5,1.097,0.898,0.513,0.371,0.613,76.3,1.062,0.945,0.553,0.259,0.56
Maryland,Xavier,2,73.3,1.048,0.984,0.524,0.275,0.59,74.6,1.065,1.018,0.519,0.326,0.604
Florida St.,FGCU,1,82.1,1.109,0.974,0.537,0.333,0.625,76.5,1.088,1.008,0.538,0.326,0.539
Arizona,North Dakota,1,76.6,1.113,0.959,0.537,0.306,0.652,78.8,1.047,0.999,0.534,0.244,0.515
Villanova,Wisconsin,2,77.2,1.153,0.936,0.575,0.295,0.655,72.4,1.081,0.932,0.521,0.339,0.599
Virginia,Florida,2,66.1,1.054,0.899,0.524,0.259,0.616,77.9,1.074,0.917,0.516,0.301,0.642
USC,Baylor,2,78.2,1.09,1.019,0.522,0.296,0.594,71.9,1.076,0.958,0.525,0.382,0.641
S. Carolina,Duke,1,68.4,1.003,0.901,0.473,0.321,0.606,80.8,1.136,0.986,0.548,0.303,0.64
Gonzaga,Northwestern,1,82.6,1.141,0.849,0.567,0.28,0.649,71.1,1.036,0.955,0.497,0.275,0.578
Notre Dame,W. Virginia,2,77.3,1.113,0.997,0.536,0.244,0.608,81.5,1.097,0.898,0.513,0.371,0.613
Xavier,Florida St.,1,74.6,1.065,1.018,0.519,0.326,0.604,82.1,1.109,0.974,0.537,0.333,0.625
St. Mary's,Arizona,2,72,1.154,0.92,0.578,0.313,0.621,76.6,1.113,0.959,0.537,0.306,0.652
Wisconsin,Florida,2,72.4,1.081,0.932,0.521,0.339,0.599,77.9,1.074,0.917,0.516,0.301,0.642
Baylor,S. Carolina,2,71.9,1.076,0.958,0.525,0.382,0.641,68.4,1.003,0.901,0.473,0.321,0.606
Gonzaga,W. Virginia,1,82.6,1.141,0.849,0.567,0.28,0.649,81.5,1.097,0.898,0.513,0.371,0.613
Xavier,Arizona,1,74.6,1.065,1.018,0.519,0.326,0.604,76.6,1.113,0.959,0.537,0.306,0.652
Florida,S. Carolina,2,77.9,1.074,0.917,0.516,0.301,0.642,68.4,1.003,0.901,0.473,0.321,0.606
Gonzaga,Xavier,1,82.6,1.141,0.849,0.567,0.28,0.649,74.6,1.065,1.018,0.519,0.326,0.604
S. Carolina,Gonzaga,2,68.4,1.003,0.901,0.473,0.321,0.606,82.6,1.141,0.849,0.567,0.28,0.649
Kansas,UC Davis,1,83.2,1.133,0.979,0.561,0.332,0.656,69.1,0.955,0.962,0.484,0.259,0.509
Miami (Fla),Michigan St,2,69,1.032,0.959,0.51,0.308,0.58,71.9,1.033,0.988,0.54,0.285,0.579
Iowa St,Nevada,1,80.8,1.105,0.988,0.55,0.236,0.612,79.8,1.1,0.984,0.525,0.294,0.594
Purdue,Vermont,1,79.7,1.107,0.949,0.557,0.291,0.617,73.3,1.101,0.952,0.553,0.286,0.58
Creighton,Rhode Island,2,81.3,1.098,0.985,0.576,0.218,0.596,73.6,1.061,0.942,0.507,0.321,0.598
Oregon,Iona,1,78.5,1.112,0.936,0.555,0.306,0.648,80.4,1.08,1.032,0.534,0.253,0.54
Michigan,Oklahoma St,1,75,1.145,1.013,0.57,0.224,0.608,73,1.147,1.053,0.54,0.358,0.586
Louisville,Jax State,1,77.3,1.098,0.937,0.514,0.359,0.637,74.6,0.943,1,0.442,0.328,0.41
N Carolina,Texas So,1,83.9,1.13,0.954,0.517,0.402,0.668,74.1,1.032,1.012,0.481,0.306,0.53
Arkansas,Seton Hall,1,79.3,1.081,1.006,0.514,0.299,0.601,73.2,1.027,0.987,0.499,0.343,0.579
